Date,Time,NO,NO2,CO,CO 8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
20/04/2019,20:00,5.42,16.3,0.61,0.4,,42.52,28.36,75.18,1.6,76.06,24.41,63.34,7.69,1005.86,,
12/29/2016,03:00,1.85,14.66,3.09,5.28,,,45.52,83.93,1.82,51.78,17.79,78.63,7.6,1013.58,,
7/20/2015,07:00,4.71,5.11,5.91,6.06,0.07,,6.03,23.97,1.92,52.74,25.28,94.66,54.51,1000.0,0.03,
05/03/2015,09:00,,7.73,3.27,3.22,2.13,2.07,,29.0,2.7,58.93,24.1,81.39,295.89,1010.72,0.02,
6/19/2016,17:00,5.48,16.51,1.1,0.93,6.52,12.43,21.91,37.03,0.94,337.99,27.42,90.51,76.52,1003.34,0.36,
04/06/2019,03:00,,,,,,,9.97,22.96,2.29,91.18,25.8,82.65,7.79,1002.85,0.04,
2/25/2015,08:00,5.16,17.12,2.64,2.7,4.59,3.48,,,3.32,39.87,19.85,79.41,124.72,1010.75,0.02,
19/01/2018,02:00,36.18,12.73,,,,,239.28,321.0,0.54,89.3,17.05,99.01,7.56,1012.36,,
05/07/2018,21:00,4.26,10.52,,,,,31.0,61.84,0.85,48.88,24.78,89.12,7.65,1005.85,,
11/16/2016,14:00,2.53,7.75,2.23,2.35,19.68,11.18,17.06,61.56,2.22,127.24,29.47,51.86,588.31,1011.36,,
07/09/2018,06:00,2.73,2.89,,,,,5.03,25.38,0.61,41.37,27.07,90.72,26.15,1000.49,0.03,
13/03/2017,06:00,4.06,1.24,,6.39,,,62.8,100.74,0.29,328.69,19.1,87.2,8.77,1010.69,,
11/15/2017,21:00,3.83,9.07,,,,,55.34,79.56,0.45,322.57,23.19,80.98,7.84,1012.1,,
01/04/2015,19:00,6.27,17.08,2.02,,3.6,,103.69,141.27,2.1,237.28,22.91,84.8,7.14,1009.57,,
16/02/2018,06:00,21.77,10.48,,,,,169.84,272.34,0.4,350.28,17.24,89.89,8.17,1014.83,,
10/19/2014,13:00,1.66,8.56,2.45,2.58,39.56,21.83,29.73,63.66,2.5,148.64,29.16,54.54,602.94,1009.37,0.03,
21/02/2019,21:00,8.86,36.68,2.23,1.08,4.48,35.09,151.57,244.65,0.35,322.93,23.13,78.43,8.28,1014.53,0.03,
09/07/2016,09:00,3.74,6.4,1.18,1.2,8.91,4.26,10.94,25.0,5.45,80.18,29.21,81.29,498.9,1004.31,0.02,
02/03/2018,09:00,2.87,8.33,,,,,,,1.46,52.07,23.15,73.59,344.75,1010.39,,
13/02/2018,14:00,1.98,5.07,,,,,62.94,168.15,3.27,215.91,28.04,44.22,563.13,1015.26,0.02,
10/22/2014,12:00,2.34,9.9,2.5,2.45,21.81,12.35,19.26,62.19,2.87,105.97,30.83,55.65,808.35,1013.51,,
07/07/2015,03:00,17.0,7.39,6.05,6.7,,,45.91,77.52,1.34,93.23,27.94,90.3,7.46,997.71,,
10/15/2013,14:00,,4.76,1.77,1.59,6.22,5.05,37.76,88.43,1.6,268.32,32.61,63.85,327.36,1088.63,0.02,1.59
11/11/2013,08:00,,2.99,1.67,2.06,6.38,5.4,9.33,30.03,4.31,40.09,22.24,78.43,268.42,,0.03,
11/11/2016,13:00,1.09,5.72,1.58,1.76,36.33,17.46,18.29,47.6,5.13,229.07,29.65,60.32,681.23,1010.48,,
11/16/2014,24:00:00,20.41,30.9,1.45,2.12,2.3,9.4,135.76,253.32,1.2,50.02,21.94,71.01,7.71,1011.53,,
1/25/2015,22:00,14.75,32.92,3.42,2.29,1.43,21.97,114.1,192.28,0.7,245.05,18.45,75.05,7.7,1017.5,,
11/23/2013,03:00,8.66,13.71,0.67,1.25,4.12,3.92,36.84,62.85,2.67,25.07,18.55,74.18,7.34,,,
10/04/2019,19:00,6.67,24.77,1.05,,9.34,29.54,25.03,67.33,0.31,212.65,26.01,64.99,9.18,1009.4,,
4/15/2013,15:00,0.29,1.14,3.3,3.03,32.79,28.7,40.05,76.0,2.75,122.98,30.29,63.55,589.15,1083.89,0.04,1.6
12/12/2014,15:00,6.57,8.07,1.14,1.27,27.88,13.76,71.5,137.06,3.85,206.19,23.78,60.13,273.35,1013.11,0.03,
12/03/2017,07:00,4.09,6.21,,,,,12.0,39.0,0.65,51.21,17.09,84.52,36.84,1014.27,,
11/23/2013,20:00,78.03,30.83,5.92,2.26,3.63,19.5,275.0,451.23,1.02,63.66,22.33,78.38,7.6,,,
10/07/2016,05:00,3.31,6.9,1.71,1.98,,0.86,27.06,62.03,0.69,68.26,27.43,93.66,7.92,1005.03,,
02/05/2014,13:00,1.0,11.77,2.52,2.34,24.8,10.13,186.11,269.67,2.97,123.6,22.33,66.96,450.62,,0.03,
1/30/2019,06:00,4.5,13.64,0.55,0.64,,,95.03,150.97,0.44,115.97,13.91,93.51,8.06,1016.19,,
5/22/2016,15:00,3.99,7.67,0.34,0.32,30.22,22.25,7.97,18.07,2.83,91.5,28.93,71.54,599.8,998.07,0.03,
